year,week,week_start,metric,vax,number
2021,18,2021-05-02,Cases,Fully vaccinated,370
2021,18,2021-05-02,Cases,Not fully vaccinated,6769
2021,18,2021-05-02,Deaths,Fully vaccinated,10
2021,18,2021-05-02,Deaths,Not fully vaccinated,37
2021,18,2021-05-02,Hospitalizations,Fully vaccinated,38
2021,18,2021-05-02,Hospitalizations,Not fully vaccinated,420
2021,19,2021-05-09,Cases,Fully vaccinated,309
2021,19,2021-05-09,Cases,Not fully vaccinated,4596
2021,19,2021-05-09,Deaths,Fully vaccinated,5
2021,19,2021-05-09,Deaths,Not fully vaccinated,26
2021,19,2021-05-09,Hospitalizations,Fully vaccinated,36
2021,19,2021-05-09,Hospitalizations,Not fully vaccinated,326
2021,20,2021-05-16,Cases,Fully vaccinated,263
2021,20,2021-05-16,Cases,Not fully vaccinated,3259
2021,20,2021-05-16,Deaths,Fully vaccinated,3
2021,20,2021-05-16,Deaths,Not fully vaccinated,26
2021,20,2021-05-16,Hospitalizations,Fully vaccinated,40
2021,20,2021-05-16,Hospitalizations,Not fully vaccinated,274
2021,21,2021-05-23,Cases,Fully vaccinated,188
2021,21,2021-05-23,Cases,Not fully vaccinated,1758
2021,21,2021-05-23,Deaths,Fully vaccinated,2
2021,21,2021-05-23,Deaths,Not fully vaccinated,17
2021,21,2021-05-23,Hospitalizations,Fully vaccinated,19
2021,21,2021-05-23,Hospitalizations,Not fully vaccinated,177
2021,22,2021-05-30,Cases,Fully vaccinated,129
2021,22,2021-05-30,Cases,Not fully vaccinated,1149
2021,22,2021-05-30,Deaths,Fully vaccinated,5
2021,22,2021-05-30,Deaths,Not fully vaccinated,10
2021,22,2021-05-30,Hospitalizations,Fully vaccinated,23
2021,22,2021-05-30,Hospitalizations,Not fully vaccinated,131
2021,23,2021-06-06,Cases,Fully vaccinated,107
2021,23,2021-06-06,Cases,Not fully vaccinated,782
2021,23,2021-06-06,Deaths,Fully vaccinated,1
2021,23,2021-06-06,Deaths,Not fully vaccinated,6
2021,23,2021-06-06,Hospitalizations,Fully vaccinated,22
2021,23,2021-06-06,Hospitalizations,Not fully vaccinated,84
2021,24,2021-06-13,Cases,Fully vaccinated,131
2021,24,2021-06-13,Cases,Not fully vaccinated,582
2021,24,2021-06-13,Deaths,Fully vaccinated,3
2021,24,2021-06-13,Deaths,Not fully vaccinated,3
2021,24,2021-06-13,Hospitalizations,Fully vaccinated,19
2021,24,2021-06-13,Hospitalizations,Not fully vaccinated,66
2021,25,2021-06-20,Cases,Fully vaccinated,111
2021,25,2021-06-20,Cases,Not fully vaccinated,505
2021,25,2021-06-20,Deaths,Fully vaccinated,2
2021,25,2021-06-20,Deaths,Not fully vaccinated,4
2021,25,2021-06-20,Hospitalizations,Fully vaccinated,15
2021,25,2021-06-20,Hospitalizations,Not fully vaccinated,64
2021,26,2021-06-27,Cases,Fully vaccinated,162
2021,26,2021-06-27,Cases,Not fully vaccinated,543
2021,26,2021-06-27,Deaths,Fully vaccinated,1
2021,26,2021-06-27,Deaths,Not fully vaccinated,3
2021,26,2021-06-27,Hospitalizations,Fully vaccinated,20
2021,26,2021-06-27,Hospitalizations,Not fully vaccinated,64
2021,27,2021-07-04,Cases,Fully vaccinated,214
2021,27,2021-07-04,Cases,Not fully vaccinated,693
2021,27,2021-07-04,Deaths,Fully vaccinated,1
2021,27,2021-07-04,Deaths,Not fully vaccinated,5
2021,27,2021-07-04,Hospitalizations,Fully vaccinated,19
2021,27,2021-07-04,Hospitalizations,Not fully vaccinated,64
2021,28,2021-07-11,Cases,Fully vaccinated,386
2021,28,2021-07-11,Cases,Not fully vaccinated,1061
2021,28,2021-07-11,Deaths,Fully vaccinated,2
2021,28,2021-07-11,Deaths,Not fully vaccinated,16
2021,28,2021-07-11,Hospitalizations,Fully vaccinated,36
2021,28,2021-07-11,Hospitalizations,Not fully vaccinated,121
2021,29,2021-07-18,Cases,Fully vaccinated,702
2021,29,2021-07-18,Cases,Not fully vaccinated,1754
2021,29,2021-07-18,Deaths,Fully vaccinated,4
2021,29,2021-07-18,Deaths,Not fully vaccinated,8
2021,29,2021-07-18,Hospitalizations,Fully vaccinated,47
2021,29,2021-07-18,Hospitalizations,Not fully vaccinated,157
2021,30,2021-07-25,Cases,Fully vaccinated,1270
2021,30,2021-07-25,Cases,Not fully vaccinated,2783
2021,30,2021-07-25,Deaths,Fully vaccinated,13
2021,30,2021-07-25,Deaths,Not fully vaccinated,17
2021,30,2021-07-25,Hospitalizations,Fully vaccinated,63
2021,30,2021-07-25,Hospitalizations,Not fully vaccinated,186
2021,31,2021-08-01,Cases,Fully vaccinated,1912
2021,31,2021-08-01,Cases,Not fully vaccinated,3874
2021,31,2021-08-01,Deaths,Fully vaccinated,10
2021,31,2021-08-01,Deaths,Not fully vaccinated,25
2021,31,2021-08-01,Hospitalizations,Fully vaccinated,81
2021,31,2021-08-01,Hospitalizations,Not fully vaccinated,278
2021,32,2021-08-08,Cases,Fully vaccinated,2454
