gender,people_complete,filed_date,report_date
Female,1889223,2022-01-25,2022-01-27
Male,1678448,2022-01-25,2022-01-27
Other,132,2022-01-25,2022-01-27
Unknown/Missing,19679,2022-01-25,2022-01-27
Female,1888371,2022-01-24,2022-01-26
Male,1677531,2022-01-24,2022-01-26
Other,133,2022-01-24,2022-01-26
Unknown/Missing,19710,2022-01-24,2022-01-26
Female,1887178,2022-01-23,2022-01-25
Male,1676295,2022-01-23,2022-01-25
Other,135,2022-01-23,2022-01-25
Unknown/Missing,19763,2022-01-23,2022-01-25
Female,1885182,2022-01-20,2022-01-24
Male,1674253,2022-01-20,2022-01-24
Other,133,2022-01-20,2022-01-24
Unknown/Missing,19855,2022-01-20,2022-01-24
Female,1883385,2022-01-19,2022-01-21
Male,1672424,2022-01-19,2022-01-21
Other,132,2022-01-19,2022-01-21
Unknown/Missing,19930,2022-01-19,2022-01-21
Female,1882137,2022-01-18,2022-01-20
Male,1671169,2022-01-18,2022-01-20
Other,132,2022-01-18,2022-01-20
Unknown/Missing,20007,2022-01-18,2022-01-20
Female,1880799,2022-01-17,2022-01-19
Male,1669787,2022-01-17,2022-01-19
Other,132,2022-01-17,2022-01-19
Unknown/Missing,20059,2022-01-17,2022-01-19
Female,1876875,2022-01-13,2022-01-18
Male,1665739,2022-01-13,2022-01-18
Other,131,2022-01-13,2022-01-18
Unknown/Missing,20337,2022-01-13,2022-01-18
Female,1875269,2022-01-12,2022-01-14
Male,1664026,2022-01-12,2022-01-14
Other,133,2022-01-12,2022-01-14
Unknown/Missing,20407,2022-01-12,2022-01-14
Female,1873562,2022-01-11,2022-01-13
Male,1662251,2022-01-11,2022-01-13
Other,133,2022-01-11,2022-01-13
Unknown/Missing,20470,2022-01-11,2022-01-13
Female,1872385,2022-01-10,2022-01-12
Male,1660802,2022-01-10,2022-01-12
Other,133,2022-01-10,2022-01-12
Unknown/Missing,20554,2022-01-10,2022-01-12
Female,1870954,2022-01-09,2022-01-11
Male,1659284,2022-01-09,2022-01-11
Other,133,2022-01-09,2022-01-11
Unknown/Missing,20603,2022-01-09,2022-01-11
Female,1866085,2022-01-06,2022-01-10
Male,1654363,2022-01-06,2022-01-10
Other,131,2022-01-06,2022-01-10
Unknown/Missing,20822,2022-01-06,2022-01-10
Female,1863778,2022-01-05,2022-01-07
Male,1651925,2022-01-05,2022-01-07
Other,127,2022-01-05,2022-01-07
Unknown/Missing,20925,2022-01-05,2022-01-07
Female,1862197,2022-01-04,2022-01-06
Male,1650358,2022-01-04,2022-01-06
Other,127,2022-01-04,2022-01-06
Unknown/Missing,20999,2022-01-04,2022-01-06
Female,1860680,2022-01-03,2022-01-05
Male,1648793,2022-01-03,2022-01-05
Other,127,2022-01-03,2022-01-05
Unknown/Missing,21083,2022-01-03,2022-01-05
Female,1858697,2022-01-02,2022-01-04
Male,1646906,2022-01-02,2022-01-04
Other,127,2022-01-02,2022-01-04
Unknown/Missing,21173,2022-01-02,2022-01-04
Female,1854805,2021-12-29,2022-01-03
Male,1642873,2021-12-29,2022-01-03
Other,128,2021-12-29,2022-01-03
Unknown/Missing,21426,2021-12-29,2022-01-03
Female,1852608,2021-12-28,2021-12-30
Male,1640684,2021-12-28,2021-12-30
Other,130,2021-12-28,2021-12-30
Unknown/Missing,21530,2021-12-28,2021-12-30
Female,1850880,2021-12-27,2021-12-29
Male,1639060,2021-12-27,2021-12-29
Other,130,2021-12-27,2021-12-29
Unknown/Missing,21638,2021-12-27,2021-12-29
Female,1848937,2021-12-26,2021-12-28
Male,1637248,2021-12-26,2021-12-28
Other,132,2021-12-26,2021-12-28
Unknown/Missing,21717,2021-12-26,2021-12-28
Female,1845942,2021-12-22,2021-12-27
Male,1634009,2021-12-22,2021-12-27
Other,134,2021-12-22,2021-12-27
Unknown/Missing,21979,2021-12-22,2021-12-27
Female,1843979,2021-12-21,2021-12-23
Male,1631954,2021-12-21,2021-12-23
Other,134,2021-12-21,2021-12-23
Unknown/Missing,22097,2021-12-21,2021-12-23
Female,1840152,2021-12-19,2021-12-21
Male,1627986,2021-12-19,2021-12-21
Other,135,2021-12-19,2021-12-21
Unknown/Missing,22305,2021-12-19,2021-12-21
Female,1835938,2021-12-16,2021-12-20
Male,1623571,2021-12-16,2021-12-20
Other,137,2021-12-16,2021-12-20
Unknown/Missing,22630,2021-12-16,2021-12-20
Female,1833710,2021-12-15,2021-12-17
Male,1621320,2021-12-15,2021-12-17
Other,137,2021-12-15,2021-12-17
Unknown/Missing,22773,2021-12-15,2021-12-17
Female,1830461,2021-12-14,2021-12-16
Male,1617999,2021-12-14,2021-12-16
Other,137,2021-12-14,2021-12-16
Unknown/Missing,22942,2021-12-14,2021-12-16
Female,1827879,2021-12-13,2021-12-15
Male,1615241,2021-12-13,2021-12-15
Other,137,2021-12-13,2021-12-15
Unknown/Missing,23085,2021-12-13,2021-12-15
Female,1824202,2021-12-12,2021-12-14
Male,1611493,2021-12-12,2021-12-14
Other,139,2021-12-12,2021-12-14
Unknown/Missing,23166,2021-12-12,2021-12-14
Female,1815341,2021-12-09,2021-12-13
Male,1602334,2021-12-09,2021-12-13
Other,140,2021-12-09,2021-12-13
Unknown/Missing,23553,2021-12-09,2021-12-13
Female,1812229,2021-12-08,2021-12-10
Male,1599086,2021-12-08,2021-12-10
Other,138,2021-12-08,2021-12-10
Unknown/Missing,23592,2021-12-08,2021-12-10
Female,1807226,2021-12-07,2021-12-09
Male,1593880,2021-12-07,2021-12-09
Other,138,2021-12-07,2021-12-09
Unknown/Missing,23679,2021-12-07,2021-12-09
Female,1803747,2021-12-06,2021-12-08
Male,1590329,2021-12-06,2021-12-08
Other,140,2021-12-06,2021-12-08
Unknown/Missing,23802,2021-12-06,2021-12-08
Female,1800441,2021-12-05,2021-12-07
Male,1586839,2021-12-05,2021-12-07
Other,138,2021-12-05,2021-12-07
Unknown/Missing,23905,2021-12-05,2021-12-07
Female,1791150,2021-12-02,2021-12-06
Male,1577160,2021-12-02,2021-12-06
Other,138,2021-12-02,2021-12-06
Unknown/Missing,24210,2021-12-02,2021-12-06
Female,1785569,2021-12-01,2021-12-03
Male,1571508,2021-12-01,2021-12-03
Other,138,2021-12-01,2021-12-03
Unknown/Missing,24395,2021-12-01,2021-12-03
Female,1781297,2021-11-30,2021-12-02
Male,1567233,2021-11-30,2021-12-02
Other,136,2021-11-30,2021-12-02
Unknown/Missing,24570,2021-11-30,2021-12-02
Female,1777347,2021-11-29,2021-12-01
Male,1563302,2021-11-29,2021-12-01
Other,138,2021-11-29,2021-12-01
Unknown/Missing,24709,2021-11-29,2021-12-01
Female,1773794,2021-11-28,2021-11-30
Male,1560087,2021-11-28,2021-11-30
Other,138,2021-11-28,2021-11-30
Unknown/Missing,24820,2021-11-28,2021-11-30
Female,1767835,2021-11-23,2021-11-26
Male,1553898,2021-11-23,2021-11-26
Other,139,2021-11-23,2021-11-26
Unknown/Missing,25112,2021-11-23,2021-11-26
Female,1766964,2021-11-22,2021-11-24
Male,1553042,2021-11-22,2021-11-24
Other,142,2021-11-22,2021-11-24
Unknown/Missing,25303,2021-11-22,2021-11-24
Female,1765740,2021-11-21,2021-11-23
Male,1551990,2021-11-21,2021-11-23
Other,142,2021-11-21,2021-11-23
Unknown/Missing,25380,2021-11-21,2021-11-23
Female,1763068,2021-11-18,2021-11-22
Male,1549286,2021-11-18,2021-11-22
Other,143,2021-11-18,2021-11-22
Unknown/Missing,25722,2021-11-18,2021-11-22
Female,1761882,2021-11-17,2021-11-19
Male,1548074,2021-11-17,2021-11-19
Other,145,2021-11-17,2021-11-19
Unknown/Missing,25852,2021-11-17,2021-11-19
Female,1760567,2021-11-16,2021-11-18
Male,1546851,2021-11-16,2021-11-18
Other,146,2021-11-16,2021-11-18
Unknown/Missing,25954,2021-11-16,2021-11-18
Female,1759725,2021-11-15,2021-11-17
Male,1545995,2021-11-15,2021-11-17
Other,147,2021-11-15,2021-11-17
Unknown/Missing,26112,2021-11-15,2021-11-17
Female,1758753,2021-11-14,2021-11-16
Male,1545055,2021-11-14,2021-11-16
Other,146,2021-11-14,2021-11-16
Unknown/Missing,26174,2021-11-14,2021-11-16
Female,1748807,2021-11-11,2021-11-15
Male,1539077,2021-11-11,2021-11-15
Other,143,2021-11-11,2021-11-15
Unknown/Missing,26385,2021-11-11,2021-11-15
Female,1747468,2021-11-10,2021-11-12
Male,1537836,2021-11-10,2021-11-12
Other,143,2021-11-10,2021-11-12
Unknown/Missing,26505,2021-11-10,2021-11-12
Female,1746130,2021-11-09,2021-11-11
Male,1536544,2021-11-09,2021-11-11
Other,144,2021-11-09,2021-11-11
Unknown/Missing,26644,2021-11-09,2021-11-11
Female,1744981,2021-11-08,2021-11-10
Male,1535503,2021-11-08,2021-11-10
Other,145,2021-11-08,2021-11-10
Unknown/Missing,26707,2021-11-08,2021-11-10
Female,1761114,2021-11-07,2021-11-09
Male,1551805,2021-11-07,2021-11-09
Other,144,2021-11-07,2021-11-09
Unknown/Missing,26886,2021-11-07,2021-11-09
Female,1753006,2021-11-04,2021-11-08
Male,1544104,2021-11-04,2021-11-08
Other,144,2021-11-04,2021-11-08
Unknown/Missing,27109,2021-11-04,2021-11-08
Female,1758648,2021-11-03,2021-11-05
Male,1545596,2021-11-03,2021-11-05
Other,145,2021-11-03,2021-11-05
Unknown/Missing,27247,2021-11-03,2021-11-05
Female,1756199,2021-11-02,2021-11-04
Male,1543179,2021-11-02,2021-11-04
Other,145,2021-11-02,2021-11-04
Unknown/Missing,27331,2021-11-02,2021-11-04
Female,1753745,2021-11-01,2021-11-03
Male,1540739,2021-11-01,2021-11-03
Other,143,2021-11-01,2021-11-03
Unknown/Missing,27409,2021-11-01,2021-11-03
Female,1752063,2021-10-31,2021-11-02
Male,1538991,2021-10-31,2021-11-02
Other,145,2021-10-31,2021-11-02
Unknown/Missing,27466,2021-10-31,2021-11-02
Female,1745673,2021-10-28,2021-11-01
Male,1532586,2021-10-28,2021-11-01
Other,146,2021-10-28,2021-11-01
Unknown/Missing,27629,2021-10-28,2021-11-01
Female,1742887,2021-10-27,2021-10-29
Male,1529634,2021-10-27,2021-10-29
Other,147,2021-10-27,2021-10-29
Unknown/Missing,27729,2021-10-27,2021-10-29
Female,1740483,2021-10-26,2021-10-28
Male,1527364,2021-10-26,2021-10-28
Other,147,2021-10-26,2021-10-28
Unknown/Missing,27831,2021-10-26,2021-10-28
Female,1738869,2021-10-25,2021-10-27
Male,1525803,2021-10-25,2021-10-27
Other,148,2021-10-25,2021-10-27
Unknown/Missing,27934,2021-10-25,2021-10-27
Female,1737681,2021-10-24,2021-10-26
Male,1524795,2021-10-24,2021-10-26
Other,148,2021-10-24,2021-10-26
Unknown/Missing,27948,2021-10-24,2021-10-26
Female,1735160,2021-10-21,2021-10-25
Male,1522454,2021-10-21,2021-10-25
Other,150,2021-10-21,2021-10-25
Unknown/Missing,28041,2021-10-21,2021-10-25
Female,1733567,2021-10-20,2021-10-22
Male,1521000,2021-10-20,2021-10-22
Other,151,2021-10-20,2021-10-22
Unknown/Missing,28102,2021-10-20,2021-10-22
Female,1732277,2021-10-19,2021-10-21
Male,1519872,2021-10-19,2021-10-21
Other,152,2021-10-19,2021-10-21
Unknown/Missing,28143,2021-10-19,2021-10-21
Female,1731256,2021-10-18,2021-10-20
Male,1519005,2021-10-18,2021-10-20
Other,151,2021-10-18,2021-10-20
Unknown/Missing,28202,2021-10-18,2021-10-20
Female,1730005,2021-10-17,2021-10-19
Male,1517918,2021-10-17,2021-10-19
Other,152,2021-10-17,2021-10-19
Unknown/Missing,28248,2021-10-17,2021-10-19
Female,1727047,2021-10-14,2021-10-18
Male,1515001,2021-10-14,2021-10-18
Other,153,2021-10-14,2021-10-18
Unknown/Missing,28341,2021-10-14,2021-10-18
Female,1725583,2021-10-13,2021-10-15
Male,1513684,2021-10-13,2021-10-15
Other,154,2021-10-13,2021-10-15
Unknown/Missing,28414,2021-10-13,2021-10-15
Female,1724035,2021-10-12,2021-10-14
Male,1512235,2021-10-12,2021-10-14
Other,154,2021-10-12,2021-10-14
Unknown/Missing,28507,2021-10-12,2021-10-14
Female,1722680,2021-10-11,2021-10-13
Male,1510982,2021-10-11,2021-10-13
Other,154,2021-10-11,2021-10-13
Unknown/Missing,28607,2021-10-11,2021-10-13
Female,1721537,2021-10-10,2021-10-12
Male,1509963,2021-10-10,2021-10-12
Other,153,2021-10-10,2021-10-12
Unknown/Missing,28666,2021-10-10,2021-10-12
Female,1718767,2021-10-07,2021-10-11
Male,1507208,2021-10-07,2021-10-11
Other,153,2021-10-07,2021-10-11
Unknown/Missing,28743,2021-10-07,2021-10-11
Female,1716599,2021-10-06,2021-10-08
Male,1504943,2021-10-06,2021-10-08
Other,153,2021-10-06,2021-10-08
Unknown/Missing,28816,2021-10-06,2021-10-08
Female,1713572,2021-10-05,2021-10-07
Male,1501927,2021-10-05,2021-10-07
Other,153,2021-10-05,2021-10-07
Unknown/Missing,28886,2021-10-05,2021-10-07
Female,1712651,2021-10-04,2021-10-06
Male,1501135,2021-10-04,2021-10-06
Other,152,2021-10-04,2021-10-06
Unknown/Missing,28947,2021-10-04,2021-10-06
Female,1711389,2021-10-03,2021-10-05
Male,1500067,2021-10-03,2021-10-05
Other,153,2021-10-03,2021-10-05
Unknown/Missing,28966,2021-10-03,2021-10-05
Female,1708502,2021-09-30,2021-10-04
Male,1497352,2021-09-30,2021-10-04
Other,153,2021-09-30,2021-10-04
Unknown/Missing,29032,2021-09-30,2021-10-04
Female,1707038,2021-09-29,2021-10-01
Male,1496177,2021-09-29,2021-10-01
Other,154,2021-09-29,2021-10-01
Unknown/Missing,29096,2021-09-29,2021-10-01
Female,1705621,2021-09-28,2021-09-30
Male,1494885,2021-09-28,2021-09-30
Other,156,2021-09-28,2021-09-30
Unknown/Missing,29150,2021-09-28,2021-09-30
Female,1704602,2021-09-27,2021-09-29
Male,1493922,2021-09-27,2021-09-29
Other,156,2021-09-27,2021-09-29
Unknown/Missing,29202,2021-09-27,2021-09-29
Female,1703288,2021-09-26,2021-09-28
Male,1492674,2021-09-26,2021-09-28
Other,156,2021-09-26,2021-09-28
Unknown/Missing,29227,2021-09-26,2021-09-28
Female,1699042,2021-09-23,2021-09-27
Male,1488614,2021-09-23,2021-09-27
Other,156,2021-09-23,2021-09-27
Unknown/Missing,29249,2021-09-23,2021-09-27
Female,1696993,2021-09-22,2021-09-24
Male,1486781,2021-09-22,2021-09-24
Other,155,2021-09-22,2021-09-24
Unknown/Missing,29279,2021-09-22,2021-09-24
Female,1695314,2021-09-21,2021-09-23
Male,1485204,2021-09-21,2021-09-23
Other,155,2021-09-21,2021-09-23
Unknown/Missing,29320,2021-09-21,2021-09-23
Female,1693186,2021-09-20,2021-09-22
Male,1483169,2021-09-20,2021-09-22
Other,155,2021-09-20,2021-09-22
Unknown/Missing,29353,2021-09-20,2021-09-22
Female,1691582,2021-09-19,2021-09-21
Male,1481608,2021-09-19,2021-09-21
Other,155,2021-09-19,2021-09-21
Unknown/Missing,29367,2021-09-19,2021-09-21
Female,1686958,2021-09-16,2021-09-20
Male,1476829,2021-09-16,2021-09-20
Other,156,2021-09-16,2021-09-20
Unknown/Missing,29371,2021-09-16,2021-09-20
Female,1684154,2021-09-15,2021-09-17
Male,1473988,2021-09-15,2021-09-17
Other,156,2021-09-15,2021-09-17
Unknown/Missing,29396,2021-09-15,2021-09-17
Female,1681764,2021-09-14,2021-09-16
Male,1471673,2021-09-14,2021-09-16
Other,155,2021-09-14,2021-09-16
Unknown/Missing,29425,2021-09-14,2021-09-16
Female,1679851,2021-09-13,2021-09-15
Male,1469647,2021-09-13,2021-09-15
Other,155,2021-09-13,2021-09-15
Unknown/Missing,29460,2021-09-13,2021-09-15
Female,1677907,2021-09-12,2021-09-14
Male,1467813,2021-09-12,2021-09-14
Other,155,2021-09-12,2021-09-14
Unknown/Missing,29442,2021-09-12,2021-09-14
Female,1672163,2021-09-09,2021-09-13
Male,1462048,2021-09-09,2021-09-13
Other,156,2021-09-09,2021-09-13
Unknown/Missing,29418,2021-09-09,2021-09-13
Female,1669534,2021-09-08,2021-09-10
Male,1459503,2021-09-08,2021-09-10
Other,156,2021-09-08,2021-09-10
Unknown/Missing,29442,2021-09-08,2021-09-10
Female,1666695,2021-09-07,2021-09-09
Male,1456590,2021-09-07,2021-09-09
Other,156,2021-09-07,2021-09-09
Unknown/Missing,29448,2021-09-07,2021-09-09
Female,1664956,2021-09-06,2021-09-08
Male,1455020,2021-09-06,2021-09-08
Other,158,2021-09-06,2021-09-08
Unknown/Missing,29463,2021-09-06,2021-09-08
Female,1657708,2021-09-02,2021-09-07
Male,1447337,2021-09-02,2021-09-07
Other,159,2021-09-02,2021-09-07
Unknown/Missing,29448,2021-09-02,2021-09-07
Female,1654641,2021-09-01,2021-09-03
Male,1444324,2021-09-01,2021-09-03
Other,159,2021-09-01,2021-09-03
Unknown/Missing,29444,2021-09-01,2021-09-03
Female,1651639,2021-08-31,2021-09-02
Male,1441277,2021-08-31,2021-09-02
Other,159,2021-08-31,2021-09-02
Unknown/Missing,29448,2021-08-31,2021-09-02
Female,1648475,2021-08-30,2021-09-01
Male,1438202,2021-08-30,2021-09-01
Other,159,2021-08-30,2021-09-01
Unknown/Missing,29462,2021-08-30,2021-09-01
Female,1646153,2021-08-29,2021-08-31
Male,1435801,2021-08-29,2021-08-31
Other,160,2021-08-29,2021-08-31
Unknown/Missing,29455,2021-08-29,2021-08-31
Female,1640324,2021-08-26,2021-08-30
Male,1429265,2021-08-26,2021-08-30
Other,160,2021-08-26,2021-08-30
Unknown/Missing,29450,2021-08-26,2021-08-30
Female,1637053,2021-08-25,2021-08-27
Male,1426047,2021-08-25,2021-08-27
Other,159,2021-08-25,2021-08-27
Unknown/Missing,29472,2021-08-25,2021-08-27
Female,1634116,2021-08-24,2021-08-26
Male,1422955,2021-08-24,2021-08-26
Other,161,2021-08-24,2021-08-26
Unknown/Missing,29475,2021-08-24,2021-08-26
Female,1631175,2021-08-23,2021-08-25
Male,1419887,2021-08-23,2021-08-25
Other,161,2021-08-23,2021-08-25
Unknown/Missing,29486,2021-08-23,2021-08-25
Female,1629014,2021-08-22,2021-08-24
Male,1417729,2021-08-22,2021-08-24
Other,162,2021-08-22,2021-08-24
Unknown/Missing,29469,2021-08-22,2021-08-24
Female,1623686,2021-08-19,2021-08-23
Male,1411815,2021-08-19,2021-08-23
Other,161,2021-08-19,2021-08-23
Unknown/Missing,29473,2021-08-19,2021-08-23
Female,1620916,2021-08-18,2021-08-20
Male,1408837,2021-08-18,2021-08-20
Other,162,2021-08-18,2021-08-20
Unknown/Missing,29479,2021-08-18,2021-08-20
Female,1619321,2021-08-17,2021-08-19
Male,1407262,2021-08-17,2021-08-19
Other,162,2021-08-17,2021-08-19
Unknown/Missing,29476,2021-08-17,2021-08-19
Female,1616843,2021-08-16,2021-08-18
Male,1404698,2021-08-16,2021-08-18
Other,162,2021-08-16,2021-08-18
Unknown/Missing,29469,2021-08-16,2021-08-18
Female,1615078,2021-08-15,2021-08-17
Male,1402883,2021-08-15,2021-08-17
Other,160,2021-08-15,2021-08-17
Unknown/Missing,29454,2021-08-15,2021-08-17
Female,1611326,2021-08-12,2021-08-16
Male,1398791,2021-08-12,2021-08-16
Other,160,2021-08-12,2021-08-16
Unknown/Missing,29472,2021-08-12,2021-08-16
Female,1609132,2021-08-11,2021-08-13
Male,1396608,2021-08-11,2021-08-13
Other,162,2021-08-11,2021-08-13
Unknown/Missing,29469,2021-08-11,2021-08-13
Female,1607214,2021-08-10,2021-08-12
Male,1394601,2021-08-10,2021-08-12
Other,162,2021-08-10,2021-08-12
Unknown/Missing,29468,2021-08-10,2021-08-12
Female,1605963,2021-08-09,2021-08-11
Male,1393323,2021-08-09,2021-08-11
Other,162,2021-08-09,2021-08-11
Unknown/Missing,29462,2021-08-09,2021-08-11
Female,1604369,2021-08-08,2021-08-10
Male,1391715,2021-08-08,2021-08-10
Other,163,2021-08-08,2021-08-10
Unknown/Missing,29436,2021-08-08,2021-08-10
Female,1601039,2021-08-05,2021-08-09
Male,1388088,2021-08-05,2021-08-09
Other,162,2021-08-05,2021-08-09
Unknown/Missing,29398,2021-08-05,2021-08-09
Female,1599177,2021-08-04,2021-08-06
Male,1386018,2021-08-04,2021-08-06
Other,161,2021-08-04,2021-08-06
Unknown/Missing,29392,2021-08-04,2021-08-06
Female,1597375,2021-08-03,2021-08-05
Male,1384156,2021-08-03,2021-08-05
Other,161,2021-08-03,2021-08-05
Unknown/Missing,29401,2021-08-03,2021-08-05
Female,1595685,2021-08-02,2021-08-04
Male,1382343,2021-08-02,2021-08-04
Other,163,2021-08-02,2021-08-04
Unknown/Missing,29365,2021-08-02,2021-08-04
Female,1594189,2021-08-01,2021-08-03
Male,1380901,2021-08-01,2021-08-03
Other,161,2021-08-01,2021-08-03
Unknown/Missing,29378,2021-08-01,2021-08-03
Female,1590869,2021-07-29,2021-08-02
Male,1377228,2021-07-29,2021-08-02
Other,162,2021-07-29,2021-08-02
Unknown/Missing,29378,2021-07-29,2021-08-02
Female,1588952,2021-07-28,2021-07-30
Male,1375382,2021-07-28,2021-07-30
Other,164,2021-07-28,2021-07-30
Unknown/Missing,29391,2021-07-28,2021-07-30
Female,1587020,2021-07-27,2021-07-29
Male,1373371,2021-07-27,2021-07-29
Other,165,2021-07-27,2021-07-29
Unknown/Missing,29404,2021-07-27,2021-07-29
Female,1584656,2021-07-26,2021-07-28
Male,1370972,2021-07-26,2021-07-28
Other,166,2021-07-26,2021-07-28
Unknown/Missing,29433,2021-07-26,2021-07-28
Female,1583730,2021-07-25,2021-07-27
Male,1370047,2021-07-25,2021-07-27
Other,167,2021-07-25,2021-07-27
Unknown/Missing,29424,2021-07-25,2021-07-27
Female,1581017,2021-07-22,2021-07-26
Male,1367068,2021-07-22,2021-07-26
Other,167,2021-07-22,2021-07-26
Unknown/Missing,29414,2021-07-22,2021-07-26
Female,1579135,2021-07-21,2021-07-23
Male,1365068,2021-07-21,2021-07-23
Other,168,2021-07-21,2021-07-23
Unknown/Missing,29424,2021-07-21,2021-07-23
Female,1577243,2021-07-20,2021-07-22
Male,1363062,2021-07-20,2021-07-22
Other,169,2021-07-20,2021-07-22
Unknown/Missing,29429,2021-07-20,2021-07-22
Female,1575624,2021-07-19,2021-07-21
Male,1361269,2021-07-19,2021-07-21
Other,168,2021-07-19,2021-07-21
Unknown/Missing,29455,2021-07-19,2021-07-21
Female,1574152,2021-07-18,2021-07-20
Male,1359760,2021-07-18,2021-07-20
Other,169,2021-07-18,2021-07-20
Unknown/Missing,29457,2021-07-18,2021-07-20
Female,1571121,2021-07-15,2021-07-19
Male,1356567,2021-07-15,2021-07-19
Other,169,2021-07-15,2021-07-19
Unknown/Missing,29453,2021-07-15,2021-07-19
Female,1569074,2021-07-14,2021-07-16
Male,1354519,2021-07-14,2021-07-16
Other,168,2021-07-14,2021-07-16
Unknown/Missing,29456,2021-07-14,2021-07-16
Female,1566572,2021-07-13,2021-07-15
Male,1352175,2021-07-13,2021-07-15
Other,169,2021-07-13,2021-07-15
Unknown/Missing,29465,2021-07-13,2021-07-15
Female,1563575,2021-07-12,2021-07-14
Male,1349194,2021-07-12,2021-07-14
Other,168,2021-07-12,2021-07-14
Unknown/Missing,29478,2021-07-12,2021-07-14
Female,1562026,2021-07-11,2021-07-13
Male,1347679,2021-07-11,2021-07-13
Other,169,2021-07-11,2021-07-13
Unknown/Missing,29487,2021-07-11,2021-07-13
Female,1558498,2021-07-08,2021-07-12
Male,1344026,2021-07-08,2021-07-12
Other,170,2021-07-08,2021-07-12
Unknown/Missing,29461,2021-07-08,2021-07-12
Female,1555935,2021-07-07,2021-07-09
Male,1341632,2021-07-07,2021-07-09
Other,169,2021-07-07,2021-07-09
Unknown/Missing,29461,2021-07-07,2021-07-09
Female,1553527,2021-07-06,2021-07-08
Male,1339133,2021-07-06,2021-07-08
Other,169,2021-07-06,2021-07-08
Unknown/Missing,29462,2021-07-06,2021-07-08
Female,1550935,2021-07-05,2021-07-07
Male,1336597,2021-07-05,2021-07-07
Other,170,2021-07-05,2021-07-07
Unknown/Missing,29503,2021-07-05,2021-07-07
Female,1548779,2021-07-02,2021-07-06
Male,1334286,2021-07-02,2021-07-06
Other,170,2021-07-02,2021-07-06
Unknown/Missing,29509,2021-07-02,2021-07-06
Female,1546751,2021-07-01,2021-07-03
Male,1332223,2021-07-01,2021-07-03
Other,170,2021-07-01,2021-07-03
Unknown/Missing,29510,2021-07-01,2021-07-03
Female,1544089,2021-06-30,2021-07-02
Male,1329632,2021-06-30,2021-07-02
Other,169,2021-06-30,2021-07-02
Unknown/Missing,29523,2021-06-30,2021-07-02
Female,1541200,2021-06-29,2021-07-01
Male,1326751,2021-06-29,2021-07-01
Other,169,2021-06-29,2021-07-01
Unknown/Missing,29509,2021-06-29,2021-07-01
Female,1535887,2021-06-28,2021-06-30
Male,1321264,2021-06-28,2021-06-30
Other,166,2021-06-28,2021-06-30
Unknown/Missing,29454,2021-06-28,2021-06-30
Female,1533855,2021-06-27,2021-06-29
Male,1319239,2021-06-27,2021-06-29
Other,165,2021-06-27,2021-06-29
Unknown/Missing,29481,2021-06-27,2021-06-29
Female,1533303,2021-06-26,2021-06-28
Male,1318558,2021-06-26,2021-06-28
Other,165,2021-06-26,2021-06-28
Unknown/Missing,29470,2021-06-26,2021-06-28
Female,1526918,2021-06-25,2021-06-27
Male,1311501,2021-06-25,2021-06-27
Other,165,2021-06-25,2021-06-27
Unknown/Missing,29462,2021-06-25,2021-06-27
Female,1521595,2021-06-24,2021-06-26
Male,1306139,2021-06-24,2021-06-26
Other,165,2021-06-24,2021-06-26
Unknown/Missing,29462,2021-06-24,2021-06-26
Female,1516904,2021-06-23,2021-06-25
Male,1301425,2021-06-23,2021-06-25
Other,165,2021-06-23,2021-06-25
Unknown/Missing,29477,2021-06-23,2021-06-25
Female,1513228,2021-06-22,2021-06-24
Male,1297819,2021-06-22,2021-06-24
Other,166,2021-06-22,2021-06-24
Unknown/Missing,29458,2021-06-22,2021-06-24
Female,1510482,2021-06-21,2021-06-23
Male,1294985,2021-06-21,2021-06-23
Other,170,2021-06-21,2021-06-23
Unknown/Missing,29489,2021-06-21,2021-06-23
Female,1508403,2021-06-20,2021-06-22
Male,1292756,2021-06-20,2021-06-22
Other,178,2021-06-20,2021-06-22
Unknown/Missing,29520,2021-06-20,2021-06-22
Female,1507457,2021-06-19,2021-06-21
Male,1291699,2021-06-19,2021-06-21
Other,178,2021-06-19,2021-06-21
Unknown/Missing,29516,2021-06-19,2021-06-21
Female,1504387,2021-06-18,2021-06-20
Male,1288249,2021-06-18,2021-06-20
Other,177,2021-06-18,2021-06-20
Unknown/Missing,29490,2021-06-18,2021-06-20
Female,1499966,2021-06-17,2021-06-19
Male,1283687,2021-06-17,2021-06-19
Other,177,2021-06-17,2021-06-19
Unknown/Missing,29475,2021-06-17,2021-06-19
Female,1493335,2021-06-16,2021-06-18
Male,1276910,2021-06-16,2021-06-18
Other,181,2021-06-16,2021-06-18
Unknown/Missing,29492,2021-06-16,2021-06-18
Female,1487242,2021-06-15,2021-06-17
Male,1270702,2021-06-15,2021-06-17
Other,183,2021-06-15,2021-06-17
Unknown/Missing,29405,2021-06-15,2021-06-17
Female,1480943,2021-06-14,2021-06-16
Male,1264431,2021-06-14,2021-06-16
Other,186,2021-06-14,2021-06-16
Unknown/Missing,29329,2021-06-14,2021-06-16
Female,1473642,2021-06-13,2021-06-15
Male,1256691,2021-06-13,2021-06-15
Other,185,2021-06-13,2021-06-15
Unknown/Missing,29233,2021-06-13,2021-06-15
Female,1471619,2021-06-12,2021-06-14
Male,1254492,2021-06-12,2021-06-14
Other,189,2021-06-12,2021-06-14
