age,people_complete,filed_date,report_date
5-11,193905,2022-05-11,2022-05-13
50-64,858212,2022-05-11,2022-05-13
65+,800817,2022-05-11,2022-05-13
Unknown/missing,40,2022-05-11,2022-05-13
12-15,181109,2022-05-10,2022-05-12
16-17,93905,2022-05-10,2022-05-12
18-49,1577329,2022-05-10,2022-05-12
5-11,193813,2022-05-10,2022-05-12
50-64,858103,2022-05-10,2022-05-12
65+,800584,2022-05-10,2022-05-12
Unknown/missing,40,2022-05-10,2022-05-12
12-15,181064,2022-05-09,2022-05-11
16-17,93892,2022-05-09,2022-05-11
18-49,1577115,2022-05-09,2022-05-11
5-11,193703,2022-05-09,2022-05-11
50-64,858000,2022-05-09,2022-05-11
65+,800395,2022-05-09,2022-05-11
Unknown/missing,40,2022-05-09,2022-05-11
12-15,181028,2022-05-08,2022-05-10
16-17,93878,2022-05-08,2022-05-10
18-49,1576937,2022-05-08,2022-05-10
5-11,193616,2022-05-08,2022-05-10
50-64,857944,2022-05-08,2022-05-10
65+,800236,2022-05-08,2022-05-10
Unknown/missing,40,2022-05-08,2022-05-10
12-15,180960,2022-05-05,2022-05-09
16-17,93849,2022-05-05,2022-05-09
18-49,1576612,2022-05-05,2022-05-09
5-11,193400,2022-05-05,2022-05-09
50-64,857889,2022-05-05,2022-05-09
65+,800550,2022-05-05,2022-05-09
Unknown/missing,40,2022-05-05,2022-05-09
12-15,180940,2022-05-04,2022-05-06
16-17,93837,2022-05-04,2022-05-06
18-49,1576379,2022-05-04,2022-05-06
5-11,193295,2022-05-04,2022-05-06
50-64,857795,2022-05-04,2022-05-06
65+,800332,2022-05-04,2022-05-06
Unknown/missing,40,2022-05-04,2022-05-06
12-15,180907,2022-05-03,2022-05-05
16-17,93816,2022-05-03,2022-05-05
18-49,1576092,2022-05-03,2022-05-05
5-11,193192,2022-05-03,2022-05-05
50-64,857703,2022-05-03,2022-05-05
65+,800128,2022-05-03,2022-05-05
Unknown/missing,40,2022-05-03,2022-05-05
12-15,180885,2022-05-02,2022-05-04
16-17,93802,2022-05-02,2022-05-04
18-49,1575915,2022-05-02,2022-05-04
5-11,193114,2022-05-02,2022-05-04
50-64,857622,2022-05-02,2022-05-04
65+,799937,2022-05-02,2022-05-04
Unknown/missing,40,2022-05-02,2022-05-04
12-15,180854,2022-05-01,2022-05-03
16-17,93793,2022-05-01,2022-05-03
18-49,1575765,2022-05-01,2022-05-03
5-11,193005,2022-05-01,2022-05-03
50-64,857548,2022-05-01,2022-05-03
65+,799807,2022-05-01,2022-05-03
Unknown/missing,41,2022-05-01,2022-05-03
12-15,180782,2022-04-28,2022-05-02
16-17,93761,2022-04-28,2022-05-02
18-49,1575394,2022-04-28,2022-05-02
5-11,192786,2022-04-28,2022-05-02
50-64,857524,2022-04-28,2022-05-02
65+,800005,2022-04-28,2022-05-02
Unknown/missing,39,2022-04-28,2022-05-02
12-15,180753,2022-04-27,2022-04-29
16-17,93743,2022-04-27,2022-04-29
18-49,1575194,2022-04-27,2022-04-29
5-11,192669,2022-04-27,2022-04-29
50-64,857453,2022-04-27,2022-04-29
65+,799827,2022-04-27,2022-04-29
Unknown/missing,39,2022-04-27,2022-04-29
12-15,180721,2022-04-26,2022-04-28
16-17,93712,2022-04-26,2022-04-28
18-49,1574910,2022-04-26,2022-04-28
5-11,192549,2022-04-26,2022-04-28
50-64,857392,2022-04-26,2022-04-28
65+,799604,2022-04-26,2022-04-28
Unknown/missing,38,2022-04-26,2022-04-28
12-15,180698,2022-04-25,2022-04-27
16-17,93696,2022-04-25,2022-04-27
18-49,1574676,2022-04-25,2022-04-27
5-11,192416,2022-04-25,2022-04-27
50-64,857295,2022-04-25,2022-04-27
65+,799428,2022-04-25,2022-04-27
Unknown/missing,38,2022-04-25,2022-04-27
12-15,180668,2022-04-24,2022-04-26
16-17,93682,2022-04-24,2022-04-26
18-49,1574462,2022-04-24,2022-04-26
5-11,192324,2022-04-24,2022-04-26
50-64,857238,2022-04-24,2022-04-26
65+,799315,2022-04-24,2022-04-26
Unknown/missing,38,2022-04-24,2022-04-26
12-15,180609,2022-04-21,2022-04-25
16-17,93651,2022-04-21,2022-04-25
18-49,1574086,2022-04-21,2022-04-25
5-11,192101,2022-04-21,2022-04-25
50-64,857204,2022-04-21,2022-04-25
65+,799573,2022-04-21,2022-04-25
Unknown/missing,38,2022-04-21,2022-04-25
12-15,180570,2022-04-20,2022-04-22
16-17,93638,2022-04-20,2022-04-22
18-49,1573865,2022-04-20,2022-04-22
5-11,191980,2022-04-20,2022-04-22
50-64,857120,2022-04-20,2022-04-22
65+,799327,2022-04-20,2022-04-22
Unknown/missing,38,2022-04-20,2022-04-22
12-15,180519,2022-04-19,2022-04-21
16-17,93620,2022-04-19,2022-04-21
18-49,1573568,2022-04-19,2022-04-21
5-11,191850,2022-04-19,2022-04-21
50-64,857027,2022-04-19,2022-04-21
65+,799088,2022-04-19,2022-04-21
Unknown/missing,38,2022-04-19,2022-04-21
12-15,180491,2022-04-18,2022-04-20
16-17,93592,2022-04-18,2022-04-20
18-49,1573334,2022-04-18,2022-04-20
5-11,191740,2022-04-18,2022-04-20
50-64,856948,2022-04-18,2022-04-20
65+,798855,2022-04-18,2022-04-20
Unknown/missing,38,2022-04-18,2022-04-20
12-15,180465,2022-04-17,2022-04-19
16-17,93585,2022-04-17,2022-04-19
18-49,1573146,2022-04-17,2022-04-19
5-11,191590,2022-04-17,2022-04-19
50-64,856881,2022-04-17,2022-04-19
65+,798704,2022-04-17,2022-04-19
Unknown/missing,38,2022-04-17,2022-04-19
12-15,180416,2022-04-14,2022-04-18
16-17,93556,2022-04-14,2022-04-18
18-49,1572828,2022-04-14,2022-04-18
5-11,191357,2022-04-14,2022-04-18
50-64,856853,2022-04-14,2022-04-18
65+,799181,2022-04-14,2022-04-18
Unknown/missing,38,2022-04-14,2022-04-18
12-15,180416,2022-04-14,2022-04-16
16-17,93556,2022-04-14,2022-04-16
18-49,1572828,2022-04-14,2022-04-16
5-11,191357,2022-04-14,2022-04-16
50-64,856853,2022-04-14,2022-04-16
65+,799181,2022-04-14,2022-04-16
Unknown/missing,38,2022-04-14,2022-04-16
12-15,180382,2022-04-13,2022-04-15
16-17,93542,2022-04-13,2022-04-15
18-49,1572578,2022-04-13,2022-04-15
5-11,191239,2022-04-13,2022-04-15
50-64,856777,2022-04-13,2022-04-15
65+,798967,2022-04-13,2022-04-15
Unknown/missing,37,2022-04-13,2022-04-15
12-15,180345,2022-04-12,2022-04-14
16-17,93516,2022-04-12,2022-04-14
18-49,1572272,2022-04-12,2022-04-14
5-11,191134,2022-04-12,2022-04-14
50-64,856688,2022-04-12,2022-04-14
65+,798669,2022-04-12,2022-04-14
Unknown/missing,37,2022-04-12,2022-04-14
12-15,180317,2022-04-11,2022-04-13
16-17,93506,2022-04-11,2022-04-13
18-49,1572013,2022-04-11,2022-04-13
5-11,190948,2022-04-11,2022-04-13
50-64,856603,2022-04-11,2022-04-13
65+,798409,2022-04-11,2022-04-13
Unknown/missing,37,2022-04-11,2022-04-13
12-15,180272,2022-04-10,2022-04-12
16-17,93491,2022-04-10,2022-04-12
18-49,1571794,2022-04-10,2022-04-12
5-11,190828,2022-04-10,2022-04-12
50-64,856537,2022-04-10,2022-04-12
65+,798232,2022-04-10,2022-04-12
Unknown/missing,37,2022-04-10,2022-04-12
12-15,180192,2022-04-07,2022-04-11
16-17,93462,2022-04-07,2022-04-11
18-49,1571293,2022-04-07,2022-04-11
5-11,190554,2022-04-07,2022-04-11
50-64,856388,2022-04-07,2022-04-11
65+,797799,2022-04-07,2022-04-11
Unknown/missing,37,2022-04-07,2022-04-11
12-15,180145,2022-04-06,2022-04-08
16-17,93442,2022-04-06,2022-04-08
18-49,1571018,2022-04-06,2022-04-08
5-11,190439,2022-04-06,2022-04-08
50-64,856311,2022-04-06,2022-04-08
65+,797618,2022-04-06,2022-04-08
Unknown/missing,37,2022-04-06,2022-04-08
12-15,180102,2022-04-05,2022-04-07
16-17,93423,2022-04-05,2022-04-07
18-49,1570745,2022-04-05,2022-04-07
5-11,190310,2022-04-05,2022-04-07
50-64,856234,2022-04-05,2022-04-07
65+,797442,2022-04-05,2022-04-07
Unknown/missing,37,2022-04-05,2022-04-07
12-15,180062,2022-04-04,2022-04-06
16-17,93405,2022-04-04,2022-04-06
18-49,1570508,2022-04-04,2022-04-06
5-11,190168,2022-04-04,2022-04-06
50-64,856250,2022-04-04,2022-04-06
65+,797816,2022-04-04,2022-04-06
Unknown/missing,37,2022-04-04,2022-04-06
12-15,180008,2022-04-03,2022-04-05
16-17,93390,2022-04-03,2022-04-05
18-49,1570309,2022-04-03,2022-04-05
5-11,189991,2022-04-03,2022-04-05
50-64,856178,2022-04-03,2022-04-05
65+,797690,2022-04-03,2022-04-05
Unknown/missing,37,2022-04-03,2022-04-05
12-15,179908,2022-03-31,2022-04-04
16-17,93342,2022-03-31,2022-04-04
18-49,1569729,2022-03-31,2022-04-04
5-11,189682,2022-03-31,2022-04-04
50-64,856004,2022-03-31,2022-04-04
65+,797310,2022-03-31,2022-04-04
Unknown/missing,37,2022-03-31,2022-04-04
12-15,179840,2022-03-30,2022-04-01
16-17,93306,2022-03-30,2022-04-01
18-49,1568153,2022-03-30,2022-04-01
5-11,189465,2022-03-30,2022-04-01
50-64,855501,2022-03-30,2022-04-01
65+,796907,2022-03-30,2022-04-01
Unknown/missing,37,2022-03-30,2022-04-01
12-15,179782,2022-03-29,2022-03-31
16-17,93275,2022-03-29,2022-03-31
18-49,1567789,2022-03-29,2022-03-31
5-11,189313,2022-03-29,2022-03-31
50-64,855421,2022-03-29,2022-03-31
65+,796829,2022-03-29,2022-03-31
Unknown/missing,37,2022-03-29,2022-03-31
12-15,179741,2022-03-28,2022-03-30
16-17,93243,2022-03-28,2022-03-30
18-49,1567557,2022-03-28,2022-03-30
5-11,189121,2022-03-28,2022-03-30
50-64,855451,2022-03-28,2022-03-30
65+,797332,2022-03-28,2022-03-30
Unknown/missing,37,2022-03-28,2022-03-30
12-15,179677,2022-03-27,2022-03-29
16-17,93217,2022-03-27,2022-03-29
18-49,1567273,2022-03-27,2022-03-29
5-11,188937,2022-03-27,2022-03-29
50-64,855357,2022-03-27,2022-03-29
65+,797279,2022-03-27,2022-03-29
Unknown/missing,37,2022-03-27,2022-03-29
12-15,179550,2022-03-24,2022-03-28
16-17,93175,2022-03-24,2022-03-28
18-49,1566647,2022-03-24,2022-03-28
5-11,188548,2022-03-24,2022-03-28
50-64,855240,2022-03-24,2022-03-28
65+,797217,2022-03-24,2022-03-28
Unknown/missing,37,2022-03-24,2022-03-28
12-15,179500,2022-03-23,2022-03-25
16-17,93138,2022-03-23,2022-03-25
18-49,1566262,2022-03-23,2022-03-25
5-11,188316,2022-03-23,2022-03-25
50-64,855162,2022-03-23,2022-03-25
65+,797168,2022-03-23,2022-03-25
Unknown/missing,37,2022-03-23,2022-03-25
12-15,179434,2022-03-22,2022-03-24
16-17,93125,2022-03-22,2022-03-24
18-49,1565898,2022-03-22,2022-03-24
5-11,188139,2022-03-22,2022-03-24
50-64,855085,2022-03-22,2022-03-24
65+,797131,2022-03-22,2022-03-24
Unknown/missing,37,2022-03-22,2022-03-24
12-15,179381,2022-03-21,2022-03-23
16-17,93101,2022-03-21,2022-03-23
18-49,1565594,2022-03-21,2022-03-23
5-11,187882,2022-03-21,2022-03-23
50-64,855085,2022-03-21,2022-03-23
65+,797633,2022-03-21,2022-03-23
Unknown/missing,37,2022-03-21,2022-03-23
12-15,179316,2022-03-20,2022-03-22
16-17,93076,2022-03-20,2022-03-22
18-49,1565256,2022-03-20,2022-03-22
5-11,187635,2022-03-20,2022-03-22
50-64,855039,2022-03-20,2022-03-22
65+,797580,2022-03-20,2022-03-22
Unknown/missing,37,2022-03-20,2022-03-22
12-15,179178,2022-03-17,2022-03-21
16-17,93006,2022-03-17,2022-03-21
18-49,1564688,2022-03-17,2022-03-21
5-11,187125,2022-03-17,2022-03-21
50-64,854908,2022-03-17,2022-03-21
65+,797540,2022-03-17,2022-03-21
Unknown/missing,35,2022-03-17,2022-03-21
12-15,179097,2022-03-16,2022-03-18
16-17,92974,2022-03-16,2022-03-18
18-49,1564293,2022-03-16,2022-03-18
5-11,186819,2022-03-16,2022-03-18
50-64,854800,2022-03-16,2022-03-18
65+,797493,2022-03-16,2022-03-18
Unknown/missing,35,2022-03-16,2022-03-18
12-15,179035,2022-03-15,2022-03-17
16-17,92931,2022-03-15,2022-03-17
18-49,1563879,2022-03-15,2022-03-17
5-11,186521,2022-03-15,2022-03-17
50-64,854714,2022-03-15,2022-03-17
65+,797453,2022-03-15,2022-03-17
Unknown/missing,35,2022-03-15,2022-03-17
12-15,178970,2022-03-14,2022-03-16
16-17,92907,2022-03-14,2022-03-16
18-49,1563532,2022-03-14,2022-03-16
5-11,186291,2022-03-14,2022-03-16
50-64,854712,2022-03-14,2022-03-16
65+,797977,2022-03-14,2022-03-16
Unknown/missing,35,2022-03-14,2022-03-16
12-15,178887,2022-03-13,2022-03-15
16-17,92874,2022-03-13,2022-03-15
18-49,1563210,2022-03-13,2022-03-15
5-11,186063,2022-03-13,2022-03-15
50-64,854637,2022-03-13,2022-03-15
65+,797927,2022-03-13,2022-03-15
Unknown/missing,35,2022-03-13,2022-03-15
12-15,178743,2022-03-10,2022-03-14
16-17,92795,2022-03-10,2022-03-14
18-49,1562400,2022-03-10,2022-03-14
5-11,185435,2022-03-10,2022-03-14
50-64,854476,2022-03-10,2022-03-14
65+,797876,2022-03-10,2022-03-14
Unknown/missing,35,2022-03-10,2022-03-14
12-15,178652,2022-03-09,2022-03-11
16-17,92748,2022-03-09,2022-03-11
18-49,1561949,2022-03-09,2022-03-11
5-11,185076,2022-03-09,2022-03-11
50-64,854364,2022-03-09,2022-03-11
65+,797839,2022-03-09,2022-03-11
Unknown/missing,35,2022-03-09,2022-03-11
12-15,178549,2022-03-08,2022-03-10
16-17,92710,2022-03-08,2022-03-10
18-49,1561431,2022-03-08,2022-03-10
5-11,184759,2022-03-08,2022-03-10
50-64,854256,2022-03-08,2022-03-10
65+,797793,2022-03-08,2022-03-10
Unknown/missing,35,2022-03-08,2022-03-10
12-15,178450,2022-03-07,2022-03-09
16-17,92677,2022-03-07,2022-03-09
18-49,1560975,2022-03-07,2022-03-09
5-11,184487,2022-03-07,2022-03-09
50-64,854242,2022-03-07,2022-03-09
65+,798314,2022-03-07,2022-03-09
Unknown/missing,35,2022-03-07,2022-03-09
12-15,178360,2022-03-06,2022-03-08
16-17,92639,2022-03-06,2022-03-08
18-49,1560527,2022-03-06,2022-03-08
5-11,184060,2022-03-06,2022-03-08
50-64,854152,2022-03-06,2022-03-08
65+,798275,2022-03-06,2022-03-08
Unknown/missing,34,2022-03-06,2022-03-08
12-15,178161,2022-03-03,2022-03-05
16-17,92539,2022-03-03,2022-03-05
18-49,1559124,2022-03-03,2022-03-05
5-11,183186,2022-03-03,2022-03-05
50-64,853933,2022-03-03,2022-03-05
65+,798210,2022-03-03,2022-03-05
Unknown/missing,33,2022-03-03,2022-03-05
12-15,178042,2022-03-02,2022-03-04
16-17,92499,2022-03-02,2022-03-04
18-49,1558514,2022-03-02,2022-03-04
5-11,182849,2022-03-02,2022-03-04
50-64,853809,2022-03-02,2022-03-04
65+,798144,2022-03-02,2022-03-04
Unknown/missing,33,2022-03-02,2022-03-04
12-15,177942,2022-03-01,2022-03-03
16-17,92438,2022-03-01,2022-03-03
18-49,1557874,2022-03-01,2022-03-03
5-11,182462,2022-03-01,2022-03-03
50-64,853696,2022-03-01,2022-03-03
65+,798075,2022-03-01,2022-03-03
Unknown/missing,33,2022-03-01,2022-03-03
12-15,177815,2022-02-28,2022-03-02
16-17,92387,2022-02-28,2022-03-02
18-49,1557238,2022-02-28,2022-03-02
5-11,181757,2022-02-28,2022-03-02
50-64,853661,2022-02-28,2022-03-02
65+,798493,2022-02-28,2022-03-02
Unknown/missing,33,2022-02-28,2022-03-02
12-15,177641,2022-02-27,2022-03-01
16-17,92321,2022-02-27,2022-03-01
18-49,1556614,2022-02-27,2022-03-01
5-11,180585,2022-02-27,2022-03-01
50-64,853533,2022-02-27,2022-03-01
65+,798423,2022-02-27,2022-03-01
Unknown/missing,33,2022-02-27,2022-03-01
12-15,177294,2022-02-24,2022-02-26
16-17,92211,2022-02-24,2022-02-26
18-49,1555216,2022-02-24,2022-02-26
5-11,178257,2022-02-24,2022-02-26
50-64,853282,2022-02-24,2022-02-26
65+,798312,2022-02-24,2022-02-26
Unknown/missing,32,2022-02-24,2022-02-26
12-15,177138,2022-02-23,2022-02-25
16-17,92157,2022-02-23,2022-02-25
18-49,1554421,2022-02-23,2022-02-25
5-11,177300,2022-02-23,2022-02-25
50-64,853122,2022-02-23,2022-02-25
65+,798231,2022-02-23,2022-02-25
Unknown/missing,32,2022-02-23,2022-02-25
12-15,176962,2022-02-22,2022-02-24
16-17,92095,2022-02-22,2022-02-24
18-49,1553651,2022-02-22,2022-02-24
5-11,176480,2022-02-22,2022-02-24
50-64,853081,2022-02-22,2022-02-24
65+,798846,2022-02-22,2022-02-24
Unknown/missing,32,2022-02-22,2022-02-24
12-15,176797,2022-02-21,2022-02-23
16-17,92033,2022-02-21,2022-02-23
18-49,1552876,2022-02-21,2022-02-23
5-11,175501,2022-02-21,2022-02-23
50-64,852929,2022-02-21,2022-02-23
65+,798790,2022-02-21,2022-02-23
Unknown/missing,31,2022-02-21,2022-02-23
12-15,175991,2022-02-16,2022-02-18
16-17,91738,2022-02-16,2022-02-18
18-49,1549602,2022-02-16,2022-02-18
5-11,171091,2022-02-16,2022-02-18
50-64,852241,2022-02-16,2022-02-18
65+,798546,2022-02-16,2022-02-18
Unknown/missing,32,2022-02-16,2022-02-18
12-15,175601,2022-02-14,2022-02-16
16-17,91593,2022-02-14,2022-02-16
18-49,1547685,2022-02-14,2022-02-16
5-11,169109,2022-02-14,2022-02-16
50-64,851947,2022-02-14,2022-02-16
65+,799003,2022-02-14,2022-02-16
Unknown/missing,32,2022-02-14,2022-02-16
12-15,175446,2022-02-13,2022-02-15
16-17,91558,2022-02-13,2022-02-15
18-49,1547017,2022-02-13,2022-02-15
5-11,168335,2022-02-13,2022-02-15
50-64,851817,2022-02-13,2022-02-15
65+,798955,2022-02-13,2022-02-15
Unknown/missing,32,2022-02-13,2022-02-15
12-15,175001,2022-02-10,2022-02-14
16-17,91410,2022-02-10,2022-02-14
18-49,1544955,2022-02-10,2022-02-14
5-11,166083,2022-02-10,2022-02-14
50-64,851388,2022-02-10,2022-02-14
65+,798839,2022-02-10,2022-02-14
Unknown/missing,29,2022-02-10,2022-02-14
12-15,174778,2022-02-09,2022-02-11
16-17,91310,2022-02-09,2022-02-11
18-49,1543753,2022-02-09,2022-02-11
5-11,164784,2022-02-09,2022-02-11
50-64,851142,2022-02-09,2022-02-11
65+,798730,2022-02-09,2022-02-11
Unknown/missing,29,2022-02-09,2022-02-11
12-15,174514,2022-02-08,2022-02-10
16-17,91200,2022-02-08,2022-02-10
18-49,1542391,2022-02-08,2022-02-10
5-11,163742,2022-02-08,2022-02-10
50-64,850868,2022-02-08,2022-02-10
65+,798632,2022-02-08,2022-02-10
Unknown/missing,28,2022-02-08,2022-02-10
12-15,174295,2022-02-07,2022-02-09
16-17,91129,2022-02-07,2022-02-09
18-49,1541398,2022-02-07,2022-02-09
5-11,162677,2022-02-07,2022-02-09
50-64,850724,2022-02-07,2022-02-09
65+,799202,2022-02-07,2022-02-09
Unknown/missing,28,2022-02-07,2022-02-09
12-15,174074,2022-02-06,2022-02-08
16-17,91076,2022-02-06,2022-02-08
18-49,1540570,2022-02-06,2022-02-08
5-11,161535,2022-02-06,2022-02-08
50-64,850528,2022-02-06,2022-02-08
65+,799113,2022-02-06,2022-02-08
Unknown/missing,29,2022-02-06,2022-02-08
12-15,173538,2022-02-03,2022-02-05
16-17,90901,2022-02-03,2022-02-05
18-49,1538044,2022-02-03,2022-02-05
5-11,158707,2022-02-03,2022-02-05
50-64,849986,2022-02-03,2022-02-05
65+,798943,2022-02-03,2022-02-05
Unknown/missing,27,2022-02-03,2022-02-05
12-15,173256,2022-02-02,2022-02-04
16-17,90797,2022-02-02,2022-02-04
18-49,1536855,2022-02-02,2022-02-04
5-11,157434,2022-02-02,2022-02-04
50-64,849705,2022-02-02,2022-02-04
65+,798859,2022-02-02,2022-02-04
Unknown/missing,26,2022-02-02,2022-02-04
12-15,173006,2022-02-01,2022-02-03
16-17,90693,2022-02-01,2022-02-03
18-49,1535546,2022-02-01,2022-02-03
5-11,156109,2022-02-01,2022-02-03
50-64,849403,2022-02-01,2022-02-03
65+,798737,2022-02-01,2022-02-03
Unknown/missing,26,2022-02-01,2022-02-03
12-15,172764,2022-01-31,2022-02-02
16-17,90618,2022-01-31,2022-02-02
18-49,1534395,2022-01-31,2022-02-02
5-11,155085,2022-01-31,2022-02-02
50-64,849208,2022-01-31,2022-02-02
65+,799332,2022-01-31,2022-02-02
Unknown/missing,26,2022-01-31,2022-02-02
12-15,172558,2022-01-30,2022-02-01
16-17,90539,2022-01-30,2022-02-01
18-49,1533433,2022-01-30,2022-02-01
5-11,153968,2022-01-30,2022-02-01
50-64,848981,2022-01-30,2022-02-01
65+,799247,2022-01-30,2022-02-01
Unknown/missing,26,2022-01-30,2022-02-01
12-15,171909,2022-01-26,2022-01-28
16-17,90273,2022-01-26,2022-01-28
18-49,1530215,2022-01-26,2022-01-28
5-11,150692,2022-01-26,2022-01-28
50-64,848182,2022-01-26,2022-01-28
65+,798979,2022-01-26,2022-01-28
Unknown/missing,26,2022-01-26,2022-01-28
12-15,171720,2022-01-25,2022-01-27
16-17,90186,2022-01-25,2022-01-27
18-49,1529113,2022-01-25,2022-01-27
5-11,149665,2022-01-25,2022-01-27
50-64,847906,2022-01-25,2022-01-27
65+,798868,2022-01-25,2022-01-27
Unknown/missing,24,2022-01-25,2022-01-27
12-15,171522,2022-01-24,2022-01-26
16-17,90138,2022-01-24,2022-01-26
18-49,1528172,2022-01-24,2022-01-26
5-11,148684,2022-01-24,2022-01-26
50-64,847756,2022-01-24,2022-01-26
65+,799449,2022-01-24,2022-01-26
Unknown/missing,24,2022-01-24,2022-01-26
12-15,171332,2022-01-23,2022-01-25
16-17,90062,2022-01-23,2022-01-25
18-49,1527307,2022-01-23,2022-01-25
5-11,147747,2022-01-23,2022-01-25
50-64,847554,2022-01-23,2022-01-25
65+,799345,2022-01-23,2022-01-25
Unknown/missing,24,2022-01-23,2022-01-25
12-15,171036,2022-01-20,2022-01-24
16-17,89963,2022-01-20,2022-01-24
18-49,1525878,2022-01-20,2022-01-24
5-11,146155,2022-01-20,2022-01-24
50-64,847175,2022-01-20,2022-01-24
65+,799193,2022-01-20,2022-01-24
Unknown/missing,23,2022-01-20,2022-01-24
12-15,170760,2022-01-19,2022-01-21
16-17,89881,2022-01-19,2022-01-21
18-49,1524504,2022-01-19,2022-01-21
5-11,144827,2022-01-19,2022-01-21
50-64,846834,2022-01-19,2022-01-21
65+,799042,2022-01-19,2022-01-21
Unknown/missing,23,2022-01-19,2022-01-21
12-15,170510,2022-01-18,2022-01-20
16-17,89801,2022-01-18,2022-01-20
18-49,1523346,2022-01-18,2022-01-20
5-11,143489,2022-01-18,2022-01-20
50-64,846653,2022-01-18,2022-01-20
65+,799623,2022-01-18,2022-01-20
Unknown/missing,23,2022-01-18,2022-01-20
12-15,170335,2022-01-17,2022-01-19
16-17,89748,2022-01-17,2022-01-19
18-49,1522410,2022-01-17,2022-01-19
5-11,142325,2022-01-17,2022-01-19
50-64,846421,2022-01-17,2022-01-19
65+,799516,2022-01-17,2022-01-19
Unknown/missing,22,2022-01-17,2022-01-19
12-15,169750,2022-01-13,2022-01-18
16-17,89570,2022-01-13,2022-01-18
18-49,1519587,2022-01-13,2022-01-18
5-11,139219,2022-01-13,2022-01-18
50-64,845696,2022-01-13,2022-01-18
65+,799237,2022-01-13,2022-01-18
Unknown/missing,23,2022-01-13,2022-01-18
12-15,169545,2022-01-12,2022-01-14
16-17,89472,2022-01-12,2022-01-14
18-49,1518497,2022-01-12,2022-01-14
5-11,137798,2022-01-12,2022-01-14
50-64,845391,2022-01-12,2022-01-14
65+,799110,2022-01-12,2022-01-14
Unknown/missing,22,2022-01-12,2022-01-14
12-15,169345,2022-01-11,2022-01-13
16-17,89402,2022-01-11,2022-01-13
18-49,1517286,2022-01-11,2022-01-13
5-11,136341,2022-01-11,2022-01-13
50-64,845052,2022-01-11,2022-01-13
65+,798971,2022-01-11,2022-01-13
Unknown/missing,19,2022-01-11,2022-01-13
12-15,169137,2022-01-10,2022-01-12
16-17,89339,2022-01-10,2022-01-12
18-49,1516181,2022-01-10,2022-01-12
5-11,134848,2022-01-10,2022-01-12
50-64,844831,2022-01-10,2022-01-12
65+,799520,2022-01-10,2022-01-12
Unknown/missing,18,2022-01-10,2022-01-12
12-15,168933,2022-01-09,2022-01-11
16-17,89270,2022-01-09,2022-01-11
18-49,1515275,2022-01-09,2022-01-11
5-11,133488,2022-01-09,2022-01-11
50-64,844575,2022-01-09,2022-01-11
65+,799415,2022-01-09,2022-01-11
Unknown/missing,18,2022-01-09,2022-01-11
12-15,168352,2022-01-06,2022-01-10
16-17,89126,2022-01-06,2022-01-10
18-49,1512447,2022-01-06,2022-01-10
5-11,128459,2022-01-06,2022-01-10
50-64,843861,2022-01-06,2022-01-10
65+,799136,2022-01-06,2022-01-10
Unknown/missing,20,2022-01-06,2022-01-10
12-15,168086,2022-01-05,2022-01-07
16-17,89058,2022-01-05,2022-01-07
18-49,1511108,2022-01-05,2022-01-07
5-11,125986,2022-01-05,2022-01-07
50-64,843481,2022-01-05,2022-01-07
65+,799018,2022-01-05,2022-01-07
Unknown/missing,18,2022-01-05,2022-01-07
12-15,167850,2022-01-04,2022-01-06
16-17,88985,2022-01-04,2022-01-06
18-49,1509652,2022-01-04,2022-01-06
5-11,124429,2022-01-04,2022-01-06
50-64,843225,2022-01-04,2022-01-06
65+,799522,2022-01-04,2022-01-06
Unknown/missing,18,2022-01-04,2022-01-06
12-15,167721,2022-01-03,2022-01-05
16-17,88932,2022-01-03,2022-01-05
18-49,1508646,2022-01-03,2022-01-05
5-11,123082,2022-01-03,2022-01-05
50-64,842941,2022-01-03,2022-01-05
65+,799344,2022-01-03,2022-01-05
Unknown/missing,17,2022-01-03,2022-01-05
12-15,167519,2022-01-02,2022-01-04
16-17,88872,2022-01-02,2022-01-04
18-49,1507650,2022-01-02,2022-01-04
5-11,121000,2022-01-02,2022-01-04
50-64,842643,2022-01-02,2022-01-04
65+,799202,2022-01-02,2022-01-04
Unknown/missing,17,2022-01-02,2022-01-04
12-15,167049,2021-12-29,2022-01-03
16-17,88694,2021-12-29,2022-01-03
18-49,1504888,2021-12-29,2022-01-03
5-11,117742,2021-12-29,2022-01-03
50-64,841917,2021-12-29,2022-01-03
65+,798925,2021-12-29,2022-01-03
Unknown/missing,17,2021-12-29,2022-01-03
12-15,166798,2021-12-28,2021-12-30
16-17,88597,2021-12-28,2021-12-30
18-49,1503613,2021-12-28,2021-12-30
5-11,115614,2021-12-28,2021-12-30
50-64,841536,2021-12-28,2021-12-30
65+,798779,2021-12-28,2021-12-30
Unknown/missing,15,2021-12-28,2021-12-30
12-15,166619,2021-12-27,2021-12-29
16-17,88526,2021-12-27,2021-12-29
18-49,1502450,2021-12-27,2021-12-29
5-11,113603,2021-12-27,2021-12-29
50-64,841284,2021-12-27,2021-12-29
65+,799211,2021-12-27,2021-12-29
Unknown/missing,15,2021-12-27,2021-12-29
12-15,166426,2021-12-26,2021-12-28
16-17,88460,2021-12-26,2021-12-28
18-49,1501289,2021-12-26,2021-12-28
5-11,111797,2021-12-26,2021-12-28
